우편번호,설치기관주소,실제위치,설치기관명,경도,위도,GU_ID,GU_NAME,,,,,
6544,서울특별시 서초구 신반포로 270 자이안지하센터1층,자이안센터지하1층,반포자이아파트,127.0115816,37.50785869,22,서초구,,,,,
6544,서울특별시 서초구 신반포로 270 자이안치안센터지하2층,자이안센터지하2층,반포자이아파트,127.0115816,37.50785869,22,서초구,,,,,
6544,서울특별시 서초구 신반포로 270 수영장,수영장,반포자이아파트,127.0115816,37.50785869,22,서초구,,,,,
6544,서울특별시 서초구 신반포로 270 노인정,노인정,반포자이아파트,127.0115816,37.50785869,22,서초구,,,,,
4572,서울특별시 중구 청계천로 400,생활지원센터,롯데캐슬베네치아아파트,127.0214621,37.57081199,2,중구,,,,,
4605,"서울특별시 중구 장충단로 60, 반얀트리 클럽 앤 스파 서울 (장충동2가)",로비,반얀트리클럽앤스파서울,127.0004975,37.55007101,2,중구,,,,,
7910,"서울특별시 양천구 남부순환로54길 5, 신월3동주민센터 (신월동)",1층 민원실,신월3동주민센터,126.8290822,37.53363175,15,양천구,,,,,
7929,"서울특별시 양천구 오목로5길 34, 신월4동주민센터 (신월동)",1층 민원실,신월4동주민센터,126.8400811,37.52469581,15,양천구,,,,,
8039,"서울특별시 양천구 남부순환로70길 16-3, 신월7동주민센터 (신월동)",1층 민원실,신월7동주민센터,126.8343032,37.52169734,15,양천구,,,,,
8077,"서울특별시 양천구 중앙로 209, 신정3동주민센터 (신정동)",1층 민원실,신정3동주민센터,126.8547892,37.51514715,15,양천구,,,,,
7969,"서울특별시 양천구 목동중앙로 지하 217, 신목동역 (목동)",B2 대합실 발매기 옆,9호선 신목동역,126.8824828,37.54401,15,양천구,,,,,
8007,"서울특별시 양천구 목동동로12길 59 (목동, 목동현대아파트)",노인정(2층),현대(A),126.8777802,37.52317796,15,양천구,,,,,
8008,"서울특별시 양천구 신목로 10 (신정동, 목동현대아파트)",관리사무소 2층,현대(B),126.8766663,37.51812758,15,양천구,,,,,
8016,"서울특별시 양천구 신목로 5 (신정동, 목동삼성아파트)",105동 입구,목동삼성,126.8765552,37.51693814,15,양천구,,,,,
4347,"서울특별시 용산구 소월로 322, 하얏트호텔 (한남동)",클럽올림푸스 리셉션 데스크,하얏트호텔,126.9962408,37.53976298,3,용산구,,,,,
8048,"서울특별시 양천구 신정로7길 70 (신정동, 푸른마을1단지아파트)",관리사무소1층,푸른마을1단지(영구임대),126.8362322,37.51265801,15,양천구,,,,,
8004,"서울특별시 양천구 오목로 300 (목동, 현대하이페리온2)",201동 입구,목동현대하이페리온2차,126.8699183,37.52434807,15,양천구,,,,,
8008,"서울특별시 양천구 목동동로12길 60 (신정동, 목동현대아파트)","101동 3,4라인 승강기입구",목동현대아파트,126.8772373,37.52038789,15,양천구,,,,,
8008,"서울특별시 양천구 목동동로12길 60 (신정동, 목동현대아파트)","102동 3,4라인 승강기입구",목동현대아파트,126.8772373,37.52038789,15,양천구,,,,,
6792,"서울특별시 서초구 헌릉로 15-18, 글로벌인제교육원 1층 (염곡동)",1층 로비,(주)코웍스,127.0455487,37.46506899,22,서초구,,,,,
8008,"서울특별시 양천구 목동동로12길 60 (신정동, 목동현대아파트)","103동 3,4라인 승강기입구",목동현대아파트,126.8772373,37.52038789,15,양천구,,,,,
