GU_NAME,거주인구,유입인구,유출인구,주간인구,주간인구지수,UNDER_19,UNDER_39,UNDER_59,OVER_60
종로구,"141,316","236,168","31,687","345,797",245,16407,45128,42973,34166
중구,"118,450","289,569","27,795","380,224",321,12151,39169,35154,29754
용산구,"212,043","113,823","60,758","265,108",125,26130,68932,66185,46999
성동구,"282,193","121,304","85,702","317,795",113,36558,90491,86877,64254
광진구,"334,190","78,921","112,066","301,045",90,40354,117284,100489,71997
동대문구,"331,973","105,085","87,836","349,222",105,40084,110793,95718,80268
중랑구,"377,150","43,417","110,919","309,648",82,44241,108685,117889,100956
성북구,"425,639","92,714","119,879","398,474",94,61046,126580,132657,98735
강북구,"293,755","36,465","86,573","243,647",83,32771,77095,92644,85993
도봉구,"311,839","34,613","94,550","251,902",81,39042,78452,99137,89555
노원구,"504,411","76,609","146,125","434,895",86,77235,131688,164532,122637
은평구,"456,474","39,435","142,846","353,063",77,60713,126788,145440,116199
서대문구,"304,192","103,785","87,563","320,414",105,40155,97662,91126,70057
마포구,"354,420","182,226","108,630","428,016",121,47241,123093,108878,70045
양천구,"431,427","54,767","132,112","354,082",82,73861,107073,146539,98662
강서구,"555,402","130,856","147,505","538,753",97,74536,176640,167474,129394
구로구,"392,040","134,257","120,595","405,702",104,51668,112807,124834,97651
금천구,"224,123","123,049","58,969","288,203",129,23576,71213,69822,56694
영등포구,"360,059","253,420","99,263","514,216",143,44479,120362,110097,80006
동작구,"377,366","77,725","120,652","334,439",89,47119,125535,111550,87602
관악구,"479,969","62,067","157,792","384,244",80,43608,196460,128523,105692
서초구,"394,955","269,918","111,171","553,702",140,71734,105087,133095,80218
강남구,"499,028","575,719","113,147","961,600",193,86648,137107,168821,100680
송파구,"631,722","180,409","177,642","634,489",100,99723,185824,201157,137905
강동구,"436,710","66,435","127,012","376,133",86,67730,121466,138402,104050
계,"9,230,846","3,482,756","2,668,789","10,044,813",109,1258126,2804634,2879439,2158297
